nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
ABERU-1,E_ABERDARE,,,UK Power Reserve Limited,E,True,Aberdare Power Station,UKPR,0.000,15.400,C,0.0167661,0.000,0.000,6.160,6.160,True,False,_K,South Wales,
ABRBO-1,T_ABRBO-1,48W00000ABRBO-19,WIND,Aberdeen Offshore Wind Farm,T,True,ABRBO-1,ABERDEEN,-2.000,99.000,P,-0.0200357,-0.800,-0.800,39.600,39.600,True,False,,,
ABRTW-1,E_ABRTW-1,48W00000ABRTW-1Z,WIND,Npower Commercial Gas Limited,E,True,Auchrobert Wind Farm,NPOWER02,-10.000,36.000,C,-0.0066390,-4.000,-4.000,14.400,14.400,True,False,_N,South Scotland,
ACHLW-1,C__PSMAR001,,WIND,Smartestenergy Limited,S,True,C__PSMAR001-AAA-ACH-183,SMARTEST,0.000,11.282,C,-0.0200357,0.000,0.000,2.665,2.665,False,False,_P,North Scotland,
ACHRW-1,T_ACHRW-1,48W00000ACHRW-1O,WIND,Mobius Renewables Gen. (GB2,T,True,AChruach Wind Farm,AIRGEN2,-2.000,42.600,P,-0.0200357,-0.800,-0.800,17.040,17.040,True,False,,,
ACHYW-1,,,WIND,,,,,,,,,,,,,,False,False,,,
AFTOW-1,T_AFTOW-1,,WIND,Afton Wind Farm Limited,T,True,Afton Wind Farm,AFTON,-2.000,50.000,P,-0.0066390,-0.800,-0.800,20.000,20.000,True,False,,,
AG-ADL00B,V__BADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_B,ADELA,0.000,0.000,P,0.0066681,0.000,0.000,0.000,0.000,True,False,_B,East Midlands,
AG-ADL01M,V__MADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_M,ADELA,0.000,0.000,P,-0.0032986,0.000,0.000,0.000,0.000,True,False,_M,Yorkshire,
AG-ADL02G,V__GADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_G,ADELA,0.000,0.000,P,-0.0044771,0.000,0.000,0.000,0.000,True,False,_G,North Western,
AG-ADL03E,V__EADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_E,ADELA,0.000,0.000,P,0.0133452,0.000,0.000,0.000,0.000,True,False,_E,Midlands,
AG-ADL04H,V__JADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_J,ADELA,0.000,0.000,P,0.0087752,0.000,0.000,0.000,0.000,True,False,_J,South Eastern,
AG-ADL05H,V__HADEL002,,,Adela Energy Ltd,V,True,V__HADEL002,ADELA,0.000,0.000,P,0.0154722,0.000,0.000,0.000,0.000,True,False,_H,Southern,
AG-AECO01,2__AECOT003,,,ECOTRICITY LIMITED,S,True,ECOT_VPP_10,RENC,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AEDF01,2__ALOND001,48X000000000095K,,EDF Energy Customers Limited,S,True,EDFE Aggregate Eastern 01,LENCO,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AEDF02,2__ALOND002,,,EDF Energy Customers Limited,S,True,EDFE Aggregate Eastern 02,LENCO,0.000,0.000,C,0.0049362,0.000,0.000,0.000,0.000,False,False,_A,Eastern GSP Group,
AG-AEDF03,2__ALOND003,,,EDF Energy Customers Limited,S,True,EDFE Aggregate East Eng 3,LENCO,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AEDF04,2__ALOND004,,,EDF Energy Customers Limited,S,True,EDFE Aggregate East Eng 4,LENCO,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AFLX01,2__AFLEX001,,,Flexitricity Limited,S,True,2__AFLEX001,FLEXTRCY,0.000,49.000,C,0.0049362,0.000,0.000,10.290,10.290,False,False,_A,Eastern GSP Group,
AG-AFLX02,2__AFLEX002,,,Flexitricity Limited,S,True,2__AFLEX002,FLEXTRCY,0.000,49.000,C,0.0049362,0.000,0.000,10.290,10.290,False,False,_A,Eastern GSP Group,
AG-AFLX03,2__AFLEX003,,,Flexitricity Limited,S,True,2__AFLEX003,FLEXTRCY,0.000,49.000,C,0.0043990,0.000,0.000,1.201,1.201,False,False,_A,Eastern,
AG-AFLX04,2__AFLEX004,,,Flexitricity Limited,S,True,2__AFLEX004,FLEXTRCY,0.000,49.000,C,0.0043990,0.000,0.000,2.234,2.234,False,False,_A,Eastern,
AG-AFLX05,2__AFLEX005,,,Flexitricity Limited,S,True,2__AFLEX005,FLEXTRCY,0.000,49.000,C,0.0043990,0.000,0.000,1.867,1.867,False,False,_A,Eastern,
AG-AHAR01,2__APOWQ001,48W000AG-AHAR01L,,Hartree Partners Supply UK,S,True,2__APOWQ001,POWQ,-4.200,7.500,C,0.0043990,-0.010,-0.003,0.017,0.005,False,False,_A,Eastern,
AG-ALIM01,2__ALIME000,,,Limejump Energy Limited,G,False,2__ALIME000,ANGEL,0.000,40.000,C,0.0078652,0.000,0.000,8.800,8.800,False,False,_A,Eastern GSP Group,
AG-ALIM02,2__AANGE001,,,Limejump Energy Limited,S,False,2__AANGE001,ANGEL,-1.000,80.000,C,0.0043990,-0.416,-0.382,33.280,30.568,False,False,_A,Eastern,
AG-ALIM03,2__AANGE002,,,Limejump Energy Limited,S,True,2__AANGE002,ANGEL,0.000,50.000,C,0.0078652,0.000,0.000,11.000,11.000,False,False,_A,Eastern GSP Group,
AG-ALIM04,2__AANGE003,,,Limejump Energy Limited,S,False,2__AANGE003,ANGEL,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AOCT01,2__AMRCY001,,,Octopus Energy Limited,S,True,2__AMRCY001,MERCURY,-7.980,15.960,C,0.0043990,-2.579,-2.697,5.158,5.394,False,False,_A,Eastern,
AG-ASTK01,2__ASTAT001,,,Statkraft Markets Gmbh,S,True,STAT_A2,STATKRA1,0.000,20.000,C,0.0043990,0.000,0.000,4.400,4.400,False,False,_A,Eastern,
AG-ASTK02,2__ASTAT002,,,Statkraft Markets Gmbh,S,True,STAT_A3,STATKRA1,0.000,20.000,C,0.0043990,0.000,0.000,0.010,0.010,False,False,_A,Eastern,
AG-ASTK03,2__ASTAT003,,OTHER,Statkraft Markets Gmbh,S,True,STAT_A4,STATKRA1,-4.000,42.000,C,0.0043990,-1.172,-0.586,12.310,6.153,False,False,_A,Eastern,
AG-ASTK04,2__ASTAT004,,,Statkraft Markets Gmbh,S,True,STAT_A5,STATKRA1,-5.000,5.000,C,0.0043990,-2.080,-1.911,2.080,1.911,False,False,_A,Eastern,
AG-ASTK05,2__ASTAT005,,,Statkraft Markets Gmbh,S,True,STAT_A6,STATKRA1,-52.000,50.000,C,0.0043990,-0.395,-0.390,0.380,0.375,False,False,_A,Eastern,
AG-ASTK06,2__ASTAT006,,,Statkraft Markets Gmbh,S,True,STAT_A7,STATKRA1,-2.000,20.000,C,0.0043990,-0.001,0.000,0.006,0.000,False,False,_A,Eastern,
AG-ASTK07,2__ASTAT007,,,Statkraft Markets Gmbh,S,True,STAT_A8,STATKRA1,-2.000,20.000,C,0.0043990,-0.001,0.000,0.012,0.000,False,False,_A,Eastern,
AG-ASTK08,2__ASTAT008,,,Statkraft Markets Gmbh,S,True,STAT_A9,STATKRA1,-16.000,16.000,C,0.0043990,-0.144,-0.170,0.144,0.170,False,False,_A,Eastern,
AG-ASTK09,2__ASTAT009,,,Statkraft Markets Gmbh,S,True,STAT_A10,STATKRA1,-12.000,12.000,C,0.0043990,-4.992,-4.585,4.992,4.585,False,False,_A,Eastern,
AG-ASTK99,2__ASTAT099,,,Statkraft Markets Gmbh,S,True,STAT_A99,STATKRA1,-6.000,8.000,C,0.0043990,-2.496,-2.293,3.328,3.057,False,False,_A,Eastern,
AG-AUKP01,2__AUKPR001,,,UK Power Reserve Limited,S,True,UKPR East,UKPR,-1.000,20.000,C,0.0043990,-0.416,-0.382,8.320,7.642,False,False,_A,Eastern,
AG-AUKP02,2__AUKPR002,,,UK Power Reserve Limited,S,True,2__AUKPR002,UKPR,-1.000,20.000,C,0.0043990,-0.416,-0.382,8.320,7.642,False,False,_A,Eastern,
AG-AUKP03,2__AUKPR003,,,UK Power Reserve Limited,S,True,2__AUKPR003,UKPR,-1.000,20.000,C,0.0043990,-0.416,-0.382,8.320,7.642,False,False,_A,Eastern,
AG-AXL00K,V__KAXLE001,,,Axle Energy Limited,V,True,V__KAXLE001,AXLEENER,0.000,0.000,C,0.0217596,0.000,0.000,0.000,0.000,False,False,_K,South Wales,
AG-BEDF01,2__BLOND001,,,EDF Energy Customers Limited,S,True,EDFE Aggregate E Mids 01,LENCO,0.000,0.000,C,0.0064338,0.000,0.000,0.000,0.000,False,False,_B,East Midlands,
AG-BEDF02,2__BLOND002,,,EDF Energy Customers Limited,S,True,EDFE Aggregate E Mids 02,LENCO,0.000,0.000,C,0.0064338,0.000,0.000,0.000,0.000,False,False,_B,East Midlands,
AG-BEDF03,2__BLOND003,,WIND,EDF Energy Customers Limited,S,False,EDFE Aggregate E Mids 03,LENCO,-2.000,20.000,C,0.0066681,-0.378,-0.418,3.780,4.182,False,False,_B,East Midlands,
AG-BEDF04,2__BLOND004,,,EDF Energy Customers Limited,S,True,EDFE Aggregate E Mids 04,LENCO,0.000,0.000,C,0.0066681,0.000,0.000,0.000,0.000,False,False,_B,East Midlands,
AG-BEDG01,2__BEDGE001,,,Edgware Energy Limited,S,True,2__BEDGE001,EDGWARE,0.000,54.785,C,0.0066681,0.000,0.000,12.053,12.053,False,False,_B,East Midlands,
AG-BFLX01,2__BFLEX001,,,Flexitricity Limited,S,True,2__BFLEX001,FLEXTRCY,0.000,49.000,C,0.0066681,0.000,0.000,0.877,0.877,False,False,_B,East Midlands,
AG-BFLX02,2__BFLEX002,,,Flexitricity Limited,S,False,2__BFLEX002,FLEXTRCY,0.000,49.000,C,0.0066681,0.000,0.000,10.780,10.780,False,False,_B,East Midlands,
AG-BFLX03,2__BFLEX003,,,Flexitricity Limited,S,True,2__BFLEX003,FLEXTRCY,0.000,49.000,C,0.0066681,0.000,0.000,11.231,11.231,False,False,_B,East Midlands,
AG-BFLX04,2__BFLEX004,,,Flexitricity Limited,S,True,2__BFLEX004,FLEXTRCY,0.000,49.000,C,0.0066681,0.000,0.000,0.519,0.519,False,False,_B,East Midlands,
AG-BHAR01,2__BPOWQ001,,,Hartree Partners Supply UK,S,True,2__BPOWQ001,POWQ,0.000,8.000,C,0.0066681,0.000,0.000,1.760,1.760,False,False,_B,East Midlands,
AG-BLIM01,2__BLIME000,,,Limejump Energy Limited,G,False,2__BLIME000,ANGEL,0.000,50.000,C,0.0067476,0.000,0.000,11.000,11.000,False,False,_B,East Midlands,
AG-BLIM02,2__BANGE001,,,Limejump Energy Limited,S,False,2__BANGE001,ANGEL,-18.000,50.000,C,0.0066681,-6.944,-6.622,19.290,18.395,False,False,_B,East Midlands,
AG-BLIM03,2__BANGE002,,,Limejump Energy Limited,S,False,2__BANGE002,ANGEL,0.000,50.000,C,0.0066681,0.000,0.000,11.000,11.000,False,False,_B,East Midlands,
AG-BLIM04,2__BANGE003,,,Limejump Energy Limited,S,False,2__BANGE003,ANGEL,-5.340,2.080,C,0.0066681,-2.060,-1.965,0.802,0.765,False,False,_B,East Midlands,
AG-BOCT01,2__BMRCY001,,,Octopus Energy Limited,S,True,AG-BOCT01,MERCURY,-5.000,0.000,C,0.0066681,-1.929,-1.840,0.000,0.000,False,False,_B,East Midlands,
AG-BSMA01,2__BSMAR002,,,Smartestenergy Limited,S,True,2__BSMAR002,SMARTEST,-50.000,50.000,C,0.0054492,-23.640,-21.495,23.640,21.495,False,False,_B,East Midlands,
AG-BSMA02,2__BSMAR003,,,Smartestenergy Limited,S,True,2__BSMAR003,SMARTEST,-50.000,50.000,C,0.0054492,-23.640,-21.495,23.640,21.495,False,False,_B,East Midlands,
AG-BSTK01,2__BSTAT001,,,Statkraft Markets Gmbh,S,True,STAT_B2,STATKRA1,0.000,4.000,C,0.0088925,0.000,0.000,0.258,0.258,False,False,_B,East Midlands,
AG-BSTK02,2__BSTAT002,,,Statkraft Markets Gmbh,S,True,STAT_B3,STATKRA1,0.000,6.431,C,0.0088925,0.000,0.000,1.325,1.325,False,False,_B,East Midlands,
AG-BSTK03,2__BSTAT003,,,Statkraft Markets Gmbh,S,True,STAT_B4,STATKRA1,0.000,16.000,C,0.0066681,0.000,0.000,0.064,0.064,False,False,_B,East Midlands,
AG-BSTK04,2__BSTAT004,,,Statkraft Markets Gmbh,S,True,STAT_B5,STATKRA1,-2.000,10.000,C,0.0066681,-0.438,-0.250,2.190,1.250,False,False,_B,East Midlands,
AG-BSTK99,2__BSTAT099,,,Statkraft Markets Gmbh,S,True,STAT_B99,STATKRA1,-8.000,8.000,C,0.0066681,-3.086,-2.943,3.086,2.943,False,False,_B,East Midlands,
AG-BUKP01,2__BUKPR001,,,UK Power Reserve Limited,S,True,UKPR East Mids,UKPR,-10.000,10.359,C,0.0066681,-0.111,-0.109,0.115,0.113,False,False,_B,East Midlands,
AG-BUKP02,2__BUKPR002,,,UK Power Reserve Limited,S,True,2__BUKPR002,UKPR,-1.000,20.000,C,0.0066681,-0.386,-0.368,7.716,7.358,False,False,_B,East Midlands,
AG-BUKP03,2__BUKPR003,,,UK Power Reserve Limited,S,True,2__BUKPR003,UKPR,-1.000,20.000,C,0.0066681,-0.386,-0.368,7.716,7.358,False,False,_B,East Midlands,
AG-CBS02L,V__LCEND001,,,Centrica Business Solutions UK,V,True,Wavehub,CENDEPUK,0.000,0.000,P,0.0173142,0.000,0.000,0.000,0.000,True,False,_L,South Western,
AG-CBS05L,V__LCEND005,,,Centrica Business Solutions UK,V,True,V__LCEND005,CENDEPUK,0.000,0.000,P,0.0173142,0.000,0.000,0.000,0.000,True,False,_L,South Western,
AG-CBS06B,V__BCEND004,,,Centrica Business Solutions UK,V,True,V__BCEND004,CENDEPUK,0.000,0.000,P,0.0066681,0.000,0.000,0.000,0.000,True,False,_B,East Midlands,
AG-CBS07B,V__ECEND007,,,Centrica Business Solutions UK,V,True,V__ECEND007,CENDEPUK,0.000,0.000,P,0.0217983,0.000,0.000,0.000,0.000,True,False,_E,Midlands,
AG-CBS08M,V__MCEND001,,,Centrica Business Solutions UK,V,True,Brigg Battery,CENDEPUK,0.000,0.000,P,-0.0032986,0.000,0.000,0.000,0.000,True,False,_M,Yorkshire,
AG-COCT00,2__CMRCY001,,,Octopus Energy Limited,S,True,2__CMRCY001,MERCURY,-4.400,2.300,C,0.0210344,-0.858,-0.869,0.448,0.454,False,False,_C,London,
AG-COCT01,2__CMRCY002,48W000AG-COCT01L,,Octopus Energy Limited,S,True,AG-COCT01,MERCURY,-5.000,0.000,C,0.0175992,-2.625,-2.501,0.000,0.000,False,False,_C,London,
AG-CPAD01,2__CPADD001,,,Fuse Energy Supply Limited,S,True,Padd_DSR,PADDINGT,-0.004,0.000,C,0.0175992,-0.002,-0.002,0.000,0.000,False,False,_C,London,
AG-DEDF01,2__DLOND001,,,EDF Energy Customers Limited,S,True,EDFE Aggregate MANWEB01,LENCO,-2.000,24.000,C,0.0014796,-0.130,-0.073,1.558,0.876,False,False,_D,Merseyside North Wales,
AG-DEDF02,2__DLOND002,,,EDF Energy Customers Limited,S,True,EDFE Aggregate MANWEB02,LENCO,-2.000,24.000,C,0.0014796,-0.022,-0.008,0.259,0.098,False,False,_D,Merseyside North Wales,
AG-DLIM01,2__DANGE001,,,Limejump Energy Limited,S,False,2__DANGE001,ANGEL,0.000,50.000,C,0.0014796,0.000,0.000,11.000,11.000,False,False,_D,Merseyside North Wales,
AG-DOCT01,2__DMRCY001,48W000AG-DOCT01E,,Octopus Energy Limited,S,True,AG-DOCT01,MERCURY,-5.000,0.000,C,0.0014796,-1.906,-1.784,0.000,0.000,False,False,_D,Merseyside North Wales,
AG-DSK01G,V__GDSKC001,48W000AG-DSK01GX,,Danske Commodities A/S,V,True,V__GDSKC001,DANSKE,0.000,0.000,C,-0.0044771,0.000,0.000,0.000,0.000,False,False,_G,North Western,
AG-DSK01H,V__HDSKC001,,,Danske Commodities A/S,V,True,V__HDSKC001,DANSKE,0.000,0.000,C,0.0154722,0.000,0.000,0.000,0.000,False,False,_H,Southern,
AG-DSMA01,2__DSMAE001,,,Smartestenergy Limited,S,True,2__DSMAE001,SMARTEST,0.000,35.786,C,0.0014796,0.000,0.000,7.873,7.873,False,False,_D,Merseyside North Wales,
AG-DSMA02,2__DSMAE002,,,Smartestenergy Limited,S,True,2__DSMAE002,SMARTEST,-50.000,50.000,C,0.0014796,-19.055,-17.840,19.055,17.840,False,False,_D,Merseyside North Wales,
AG-DSTK01,2__DSTAT001,,,Statkraft Markets Gmbh,S,True,STAT_D2,STATKRA1,-2.000,20.000,C,0.0014796,-0.058,-0.021,0.576,0.210,False,False,_D,Merseyside North Wales,
AG-DSTK02,2__DSTAT002,,,Statkraft Markets Gmbh,S,True,STAT_D3,STATKRA1,-2.000,14.000,C,0.0014796,-0.074,-0.050,0.521,0.347,False,False,_D,Merseyside North Wales,
AG-DSTK03,2__DSTAT003,,,Statkraft Markets Gmbh,S,True,STAT_D4,STATKRA1,0.000,20.000,C,0.0014796,0.000,0.000,0.302,0.302,False,False,_D,Merseyside North Wales,
AG-DSTK04,2__DSTAT004,,,Statkraft Markets Gmbh,S,True,STAT_D5,STATKRA1,0.000,16.000,C,0.0014796,0.000,0.000,0.176,0.176,False,False,_D,Merseyside North Wales,
AG-DSTK05,2__DSTAT005,,,Statkraft Markets Gmbh,S,True,STAT_D6,STATKRA1,0.000,16.000,C,0.0014796,0.000,0.000,0.254,0.254,False,False,_D,Merseyside North Wales,
AG-DSTK06,2__DSTAT006,,,Statkraft Markets Gmbh,S,True,STAT_D7,STATKRA1,0.000,14.000,C,0.0016804,0.000,0.000,1.204,1.204,False,False,_D,Merseyside North Wales,
AG-DSTK07,2__DSTAT007,,,Statkraft Markets Gmbh,S,True,STAT_D8,STATKRA1,-2.000,30.000,C,0.0014796,-0.658,-0.307,9.867,4.605,False,False,_D,Merseyside North Wales,
AG-DSTK99,2__DSTAT099,,,Statkraft Markets Gmbh,S,True,STAT_D99,STATKRA1,-2.000,4.000,C,0.0014796,-0.762,-0.714,1.524,1.427,False,False,_D,Merseyside North Wales,
AG-DUKP01,2__DUKPR001,,,UK Power Reserve Limited,S,True,UKPR MANW,UKPR,-20.000,20.000,C,0.0014796,-0.172,-0.172,0.172,0.172,False,False,_D,Merseyside North Wales,
AG-DUKP02,2__DUKPR002,,,UK Power Reserve Limited,S,True,2__DUKPR002,UKPR,-1.000,20.000,C,0.0014796,-0.381,-0.357,7.622,7.136,False,False,_D,Merseyside North Wales,
AG-DUKP08,2__DUKPR008,,,UK Power Reserve Limited,S,True,2__DUKPR008,UKPR,-21.000,20.000,C,0.0014796,-8.003,-7.493,7.622,7.136,False,False,_D,Merseyside North Wales,
AG-EDF01C,V__AFEEL002,,,EDF Energy Limited,V,True,V__AFEEL002,LONDELEC,-20.707,50.000,P,0.0043990,-4.763,-4.763,11.500,11.500,True,False,_A,Eastern,
AG-EEDF01,2__ELOND001,,,EDF Energy Customers Limited,S,True,EDFE Aggregate W Mids 1,LENCO,0.000,0.000,C,0.0178442,0.000,0.000,0.000,0.000,False,False,_E,Midlands,
AG-EEDF02,2__ELOND002,48W000AG-EEDF02,,EDF Energy Customers Limited,S,True,EDF Aggregate Midlands 2,LENCO,0.000,6.000,C,0.0133452,0.000,0.000,1.320,1.320,False,False,_E,Midlands,
AG-EFLX01,2__EFLEX001,,,Flexitricity Limited,S,False,2__EFLEX001,FLEXTRCY,0.000,49.000,C,0.0133452,0.000,0.000,10.780,10.780,False,False,_E,Midlands,
AG-EFLX02,2__EFLEX002,,,Flexitricity Limited,S,True,2__EFLEX002,FLEXTRCY,0.000,49.000,C,0.0133452,0.000,0.000,42.978,42.978,False,False,_E,Midlands,
AG-EFLX03,2__EFLEX003,,,Flexitricity Limited,S,True,2__EFLEX003,FLEXTRCY,0.000,49.000,C,0.0133452,0.000,0.000,2.161,2.161,False,False,_E,Midlands,
AG-EFLX04,2__EFLEX004,,,Flexitricity Limited,S,True,2__EFLEX004,FLEXTRCY,0.000,49.000,C,0.0133452,0.000,0.000,2.994,2.994,False,False,_E,Midlands,
AG-ELIM01,2__ELIME000,,,Limejump Energy Limited,G,False,2__ELIME000,ANGEL,0.000,26.000,C,0.0133452,0.000,0.000,5.720,5.720,False,False,_E,Midlands,
AG-ELIM02,2__EANGE001,,,Limejump Energy Limited,S,False,2__EANGE001,ANGEL,-19.860,50.000,C,0.0133452,-8.921,-8.349,22.460,21.020,False,False,_E,Midlands,
AG-ELIM03,2__EANGE002,,,Limejump Energy Limited,S,False,2__EANGE002,ANGEL,-17.900,50.000,C,0.0133452,-8.041,-7.525,22.460,21.020,False,False,_E,Midlands,
AG-ENX00A,V__AENEL001,,,Enel X UK Limited,V,True,V__AENEL001,ENOC,0.000,0.000,C,0.0092874,0.000,0.000,0.000,0.000,False,False,_A,Eastern GSP Group,
AG-ENX01B,V__BENOC001,,,Enel X UK Limited,V,True,V__BENOC001,ENOC,0.000,0.000,C,0.0066681,0.000,0.000,0.000,0.000,False,False,_B,East Midlands,
AG-ENX01M,V__MENOC001,,,Enel X UK Limited,V,True,V__MENOC001,ENOC,0.000,0.000,C,-0.0032986,0.000,0.000,0.000,0.000,False,False,_M,Yorkshire,
AG-EOCT01,2__EMRCY001,,,Octopus Energy Limited,S,True,AG-EOCT01,MERCURY,-5.000,0.000,C,0.0133452,-2.246,-2.102,0.000,0.000,False,False,_E,Midlands,
AG-ERV01M,V__MEROV001,,,Erova Energy Limited,V,True,V__MEROV001,EROVAIRL,0.000,0.000,C,-0.0032986,0.000,0.000,0.000,0.000,False,False,_M,Yorkshire,
AG-ESMA01,2__ESMAR001,,,Smartestenergy Limited,S,True,2__ESMAR001,SMARTEST,-50.000,50.000,C,0.0134244,-24.565,-22.225,24.565,22.225,False,False,_E,Midlands,
AG-ESTK01,2__ESTAT001,,,Statkraft Markets Gmbh,S,True,STAT_E2,STATKRA1,-2.000,20.000,C,0.0133452,-0.066,-0.022,0.662,0.218,False,False,_E,Midlands,
AG-ESTK02,2__ESTAT002,,,Statkraft Markets Gmbh,S,True,STAT_E3,STATKRA1,0.000,4.000,C,0.0178442,0.000,0.000,0.396,0.396,False,False,_E,Midlands,
AG-ESTK03,2__ESTAT003,48W000AG-ESTK034,,Statkraft Markets Gmbh,S,True,STAT_E4,STATKRA1,-2.000,18.000,C,0.0133452,-0.055,-0.004,0.497,0.040,False,False,_E,Midlands,
AG-ESTK04,2__ESTAT004,,,Statkraft Markets Gmbh,S,True,STAT_E5,STATKRA1,0.000,12.603,C,0.0178442,0.000,0.000,1.559,1.559,False,False,_E,Midlands,
AG-ESTK05,2__ESTAT005,,,Statkraft Markets Gmbh,S,True,STAT_E6,STATKRA1,0.000,20.000,C,0.0133452,0.000,0.000,4.400,4.400,False,False,_E,Midlands,
AG-ESTK06,C__ESTAT019,,,Statkraft Markets Gmbh,S,False,C__ESTAT019-AR4-BSP-700,STATKRA1,0.000,32.000,C,0.0133452,0.000,0.000,5.510,5.510,False,False,_E,Midlands,
AG-ESTK99,2__ESTAT099,,,Statkraft Markets Gmbh,S,True,STAT_E99,STATKRA1,-4.000,6.000,C,0.0133452,-1.797,-1.682,2.695,2.522,False,False,_E,Midlands,
AG-EUKP01,2__EUKPR001,,,UK Power Reserve Limited,S,True,UKPR Mid,UKPR,-1.000,20.000,C,0.0133452,-0.449,-0.420,8.984,8.408,False,False,_E,Midlands,
AG-EXE00E,V__EEXRG001,,,Exergy Solutions Limited,V,True,V__EEXRG001,EXERGY,0.000,0.000,C,0.0154944,0.000,0.000,0.000,0.000,False,False,_E,Midlands,
AG-FEDF01,2__FLOND001,,,EDF Energy Customers Limited,S,True,EDFE Aggregate Northern 01,LENCO,0.000,0.000,C,-0.0095682,0.000,0.000,0.000,0.000,False,False,_F,_F - Northern,
AG-FEDF02,2__FLOND002,,,EDF Energy Customers Limited,S,True,EDFE Aggregate Northern 02,LENCO,0.000,0.000,C,-0.0095682,0.000,0.000,0.000,0.000,False,False,_F,_F - Northern,
AG-FFLX01,2__FFLEX001,,,Flexitricity Limited,S,True,2__FFLEX001,FLEXTRCY,0.000,49.000,C,-0.0075496,0.000,0.000,3.440,3.440,False,False,_F,Northern,
AG-FLIM01,2__FANGE001,,,Limejump Energy Limited,S,True,2__FANGE001,ANGEL,-3.720,50.000,C,-0.0077506,-0.021,-0.024,0.280,0.325,False,False,_F,_F - Northern,
AG-FLIM02,2__FANGE002,,,Limejump Energy Limited,S,True,2__FANGE002,ANGEL,0.000,50.000,C,-0.0077506,0.000,0.000,11.000,11.000,False,False,_F,_F - Northern,
AG-FLX00L,V__LFLEX001,,,Flexitricity Limited,V,True,V__LFLEX001,FLEXTRCY,-2.997,3.738,P,0.0173142,-0.689,-0.689,0.860,0.860,True,False,_L,South Western,
AG-FLX01P,V__PFLEX001,,,Flexitricity Limited,V,True,V__PFLEX001,FLEXTRCY,0.000,0.000,C,-0.0200357,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
AG-FLX02N,V__NFLEX001,,,Flexitricity Limited,V,True,V__NFLEX001,FLEXTRCY,0.000,0.000,C,-0.0066390,0.000,0.000,0.000,0.000,False,False,_N,South Scotland,
AG-FLX03H,V__HFLEX001,,,Flexitricity Limited,V,True,V__HFLEX001,FLEXTRCY,0.000,0.000,C,0.0160206,0.000,0.000,0.000,0.000,False,False,_H,Southern,
AG-FLX04A,V__AFLEX001,,,Flexitricity Limited,V,True,V__AFLEX001,FLEXTRCY,0.000,0.000,C,0.0049362,0.000,0.000,0.000,0.000,False,False,_A,Eastern GSP Group,
AG-FLX04E,V__EFLEX001,,,Flexitricity Limited,V,True,V__EFLEX001,FLEXTRCY,0.000,0.000,P,0.0150195,0.000,0.000,0.000,0.000,True,False,_E,Midlands,
AG-FLX06M,V__MFLEX001,,,Flexitricity Limited,V,True,V__MFLEX001,FLEXTRCY,0.000,0.000,C,-0.0032986,0.000,0.000,0.000,0.000,False,False,_M,Yorkshire,
AG-FLX07N,V__NFLEX002,,,Flexitricity Limited,V,True,V__NFLEX002,FLEXTRCY,0.000,0.000,C,-0.0122086,0.000,0.000,0.000,0.000,False,False,_N,SOUTH of SCOTLAND GSP,
AG-FLX09A,V__AFLEX002,,,Flexitricity Limited,V,True,V__AFLEX002,FLEXTRCY,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-FLX0AA,V__AFLEX003,,,Flexitricity Limited,V,True,V__AFLEX003,FLEXTRCY,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-FLX0BH,V__HFLEX002,,,Flexitricity Limited,V,True,V__HFLEX002,FLEXTRCY,0.000,0.000,C,0.0154722,0.000,0.000,0.000,0.000,False,False,_H,Southern,
AG-FLX0CN,V__NFLEX003,,,Flexitricity Limited,V,True,V__NFLEX003,FLEXTRCY,0.000,0.000,C,-0.0066390,0.000,0.000,0.000,0.000,False,False,_N,South Scotland,
AG-FOCT01,2__FMRCY001,48W000AG-FOCT010,,Octopus Energy Limited,S,True,AG-FOCT01,MERCURY,-5.000,0.000,C,-0.0075496,-2.101,-2.028,0.000,0.000,False,False,_F,Northern,
